pheno	meanratio	sdratio	meanr2	sdr2	meanmddr2	sdmddr2	lower	upper
37	alevels.baseline	0.0133763372062969	0.00625837690408556	0.00017620723	7.74169925505599e-05	0.013320245	0.00298567370798638	0.0011099184742892	0.0256427559383046
38	ambidextrous.baseline	0.0738304734367031	0.0529439294039371	0.0008817272	0.000542991865255579	0.013320245	0.00298567370798638	-0.0299396281950136	0.17760057506842
39	array	0	0	0	0	0.013320245	0.00298567370798638	0	0
40	attemptsstopsmoking.baseline	0.0528817147053109	0.0388966567763065	0.0006575057	0.000442291824867059	0.013320245	0.00298567370798638	-0.0233557325762499	0.129119161986872
41	averageatage10.baseline	0.0525725207797844	0.0229560694115214	0.0006549514	0.000217070926826131	0.013320245	0.00298567370798638	0.00757862473320248	0.0975664168263663
42	averageheightatage10.baseline	0.0346018762665467	0.0193997811206053	0.0004146764	0.000177920568697382	0.013320245	0.00298567370798638	-0.00342169472983966	0.0726254472629331
43	biketowork.baseline	0.0361232311295925	0.0227022136208699	0.0004616807	0.000260832134435605	0.013320245	0.00298567370798638	-0.00837310756731247	0.0806195698264974
44	breastfed.baseline	0.0256020210321315	0.0180505461987294	0.00031726403	0.000233351520159389	0.013320245	0.00298567370798638	-0.00977704951737813	0.0609810915816412
45	cartowork.baseline	0.0204873600621881	0.0139150574346954	0.00024840153	0.00013665254011945	0.013320245	0.00298567370798638	-0.00678615250981492	0.0477608726341912
46	centre.barts	0.0619939574113031	0.038363516609451	0.0007684462	0.00035020366815764	0.013320245	0.00298567370798638	-0.0131985351432208	0.137186449965827
47	centre.birmingham	0.0284821064773894	0.0129244762257474	0.0003676338	0.000156039363753581	0.013320245	0.00298567370798638	0.00315013307492447	0.0538140798798543
48	centre.bristol	0.0208993094002841	0.016163362670718	0.00027187995	0.000187747041446417	0.013320245	0.00298567370798638	-0.0107808814343231	0.0525795002348914
49	centre.bury	0.0199310571706929	0.0165462260873449	0.00023981871	0.000151823520847422	0.013320245	0.00298567370798638	-0.0124995459605032	0.052361660301889
50	centre.cardiff	0.0334008222139282	0.0190849856326809	0.0004310946	0.000233192820508503	0.013320245	0.00298567370798638	-0.00400574962612636	0.0708073940539827
51	centre.croydon	0.0369313228745764	0.0216237387613906	0.0004571844	0.000245177045953962	0.013320245	0.00298567370798638	-0.00545120509774913	0.0793138508469019
52	centre.edinburgh	0.0488925454229978	0.0300208594381322	0.000611852	0.000341111633619976	0.013320245	0.00298567370798638	-0.00994833907574134	0.107733429921737
53	centre.glasgow	0.0255503457762548	0.0157751628827926	0.0003351805	0.000221594742366555	0.013320245	0.00298567370798638	-0.00536897347401861	0.0564696650265283
54	centre.hounslow	0.0321755676104599	0.0223344460128703	0.0004034603	0.000249109797209116	0.013320245	0.00298567370798638	-0.0115999465747658	0.0759510817956857
55	centre.leeds	0.0241363567795766	0.0184838418639364	0.00030671509	0.000203586920890406	0.013320245	0.00298567370798638	-0.0120919732737387	0.0603646868328919
56	centre.liverpool	0.0230307690966287	0.00848928807284263	0.0003035167	0.000125688164996683	0.013320245	0.00298567370798638	0.00639176447385718	0.0396697737194003
