pheno	prs	meanratio	sdratio	meanr2	sdr2	meanmddr2	sdmddr2	lower	upper
1	abletoconfide.baseline	Auto-ImpAll	0.041220996515936	0.0204638670370879	0.0008471468	0.000410345590312957	0.02123802	0.00367382599684731	0.00111181712324378	0.0813301759086283
2	abletoconfide.baseline	Auto-ImpOnly	0.0531955836419996	0.0267502607263114	0.000726245	0.000335177195441788	0.01479786	0.00489766303822548	0.000765072618429195	0.10562609466557
3	abletoconfide.baseline	GPpsy	0.0257717446154437	0.0144035539450388	0.0003843615	0.00022912190642162	0.01593986	0.00511855096730402	-0.00245922111683239	0.0540027103477198
4	abletoconfide.baseline	LifetimeMDD	0.0286051981882824	0.0140260966073053	0.00028404628	0.000159631368832993	0.01009733	0.0021968729632012	0.00111404883796406	0.0560963475386007
5	abletoconfide.baseline	MTAG.AllDep	0.0207494927861049	0.0139439737840362	0.0004151973	0.000280163938070016	0.02048234	0.00575708521971936	-0.00658069583060608	0.0480796814028159
6	abletoconfide.baseline	MTAG.AllDepEnvs	0.0337433885071511	0.0123388169228857	0.0008718461	0.000369311015179904	0.02618918	0.00648502585085227	0.00955930733829508	0.0579274696760071
7	abletoconfide.baseline	MTAG.Envs	0.0628600267407959	0.01425446425725	0.0012650295	0.000307115108183398	0.02042161	0.00349520648140659	0.0349212767965858	0.090798776685006
8	abletoconfide.baseline	MTAG.FamilyHistory	0.0201428435374101	0.0101094434404951	0.00029212259	0.000181898916131927	0.015369675	0.00487942943658887	0.000328334394039658	0.0399573526807805
9	abletoconfide.baseline	MTAG.Multitraits	0.0341085914588149	0.0119407427393758	0.0008792136	0.000373129163344932	0.02614901	0.00677418561246377	0.0107047356896383	0.0575124472279914
10	abletoconfide.baseline	Soft-ImpAll	0.0375703011088155	0.0154973576738408	0.0007923268	0.000374743826610422	0.02136691	0.00405117815194269	0.00719548006808758	0.0679451221495433
11	abletoconfide.baseline	Soft-ImpOnly	0.0351934972840815	0.0186485045831828	0.0005753447	0.000312457329530876	0.01676826	0.00331653124453849	-0.00135757169895689	0.0717445662671198
12	adoptedaschild.baseline	Auto-ImpAll	0.116085552363907	0.0728114321297432	0.0023366	0.00116285102453696	0.02123802	0.00367382599684731	-0.0266248546103893	0.258795959338204
13	adoptedaschild.baseline	Auto-ImpOnly	0.150332496383602	0.0796841797275291	0.0020254	0.000867936594010313	0.01479786	0.00489766303822548	-0.00584849588235514	0.306513488649559
14	adoptedaschild.baseline	GPpsy	0.0671855888485871	0.0476546503297919	0.000981668	0.000583965056019622	0.01593986	0.00511855096730402	-0.026217525797805	0.160588703494979
15	adoptedaschild.baseline	LifetimeMDD	0.120455538750899	0.0952658325779133	0.0011010215	0.000691440637450734	0.01009733	0.0021968729632012	-0.0662654931018107	0.307176570603609
16	adoptedaschild.baseline	MTAG.AllDep	0.0852129427539912	0.0903254174578937	0.0014833807	0.00117804907624702	0.02048234	0.00575708521971936	-0.0918248754634804	0.262250760971463
17	adoptedaschild.baseline	MTAG.AllDepEnvs	0.118888484241329	0.0842810877608413	0.002797277	0.00153806031543377	0.02618918	0.00648502585085227	-0.0463024477699198	0.284079416252578
18	adoptedaschild.baseline	MTAG.Envs	0.177775852924033	0.0752737817598893	0.003534302	0.00141216230946887	0.02042161	0.00349520648140659	0.0302392406746502	0.325312465173416
19	adoptedaschild.baseline	MTAG.FamilyHistory	0.0813552960373212	0.0704078666688517	0.0010374121	0.000609827378508496	0.015369675	0.00487942943658887	-0.0566441226336281	0.21935471470827
20	adoptedaschild.baseline	MTAG.Multitraits	0.112335610994302	0.0864039084318835	0.002623998	0.00161692682253025	0.02614901	0.00677418561246377	-0.0570160495321899	0.281687271520793
21	adoptedaschild.baseline	Soft-ImpAll	0.0955596635821268	0.0892130873883292	0.0018002515	0.00122142562638958	0.02136691	0.00405117815194269	-0.0792979876989984	0.270417314863252
22	adoptedaschild.baseline	Soft-ImpOnly	0.0702902579074112	0.0442575940740308	0.0010892669	0.000568588026468383	0.01676826	0.00331653124453849	-0.0164546264776891	0.157035142292512
23	adultclass.baseline	Auto-ImpAll	0.0139173714804734	0.00689229898952856	0.00028130269	0.000115079354025747	0.02123802	0.00367382599684731	0.000408465460997395	0.0274262774999493
24	adultclass.baseline	Auto-ImpOnly	0.0283438242713313	0.0227273347603118	0.00036273749	0.00027487091733077	0.01479786	0.00489766303822548	-0.0162017518588798	0.0728894004015423
25	adultclass.baseline	GPpsy	0.0230012703453224	0.0189574360240228	0.0003316655	0.000218623570485003	0.01593986	0.00511855096730402	-0.0141553042617624	0.0601578449524072
26	adultclass.baseline	LifetimeMDD	0.0286210508878825	0.0221197347015821	0.0002735972	0.000167662348123178	0.01009733	0.0021968729632012	-0.0147336291272185	0.0719757309029835
27	adultclass.baseline	MTAG.AllDep	0.0123687852807391	0.0159642898854541	0.00019794652	0.000205044077506498	0.02048234	0.00575708521971936	-0.018921222894751	0.0436587934562292
28	adultclass.baseline	MTAG.AllDepEnvs	0.00951728554699956	0.00849789842980474	0.00021070072	0.000122046562035723	0.02618918	0.00648502585085227	-0.00713859537541773	0.0261731664694169
29	adultclass.baseline	MTAG.Envs	0.0251081310473663	0.0188457921413359	0.00049581566	0.000373363151857873	0.02042161	0.00349520648140659	-0.011829621549652	0.0620458836443847
30	adultclass.baseline	MTAG.FamilyHistory	0.0351158227203914	0.0243134377821708	0.00047653472	0.00025921696027902	0.015369675	0.00487942943658887	-0.0125385153326634	0.0827701607734462
