pheno	meanratio	sdratio	meanr2	sdr2	meanmddr2	sdmddr2	lower	upper
54	centre.hounslow	0.074112097304755	0.0416748319018425	0.0003772708	0.000211201982148106	0.005301941	0.001911244052039	-0.00757057322285629	0.155794767832366
55	centre.leeds	0.0514307324270929	0.0227981338826508	0.0002525108	9.45725873047318e-05	0.005301941	0.001911244052039	0.00674639001709729	0.0961150748370884
56	centre.liverpool	0.0610919158276641	0.0376708627192856	0.0002778482	0.000103013029949074	0.005301941	0.001911244052039	-0.0127429751021357	0.134926806757464
57	centre.manchester	0.101663302011572	0.0829743301428821	0.0004594796	0.000269438695243031	0.005301941	0.001911244052039	-0.0609663850684768	0.264292989091621
58	centre.middlesborough	0.102359156596766	0.0661518246566945	0.0004531673	0.000243291742030496	0.005301941	0.001911244052039	-0.0272984197303549	0.232016732923888
59	centre.newcastle	0.0802515168705899	0.0729420704237657	0.0003554138	0.00028111913499195	0.005301941	0.001911244052039	-0.0627149411599909	0.223217974901171
60	centre.nottingham	0.0658290831957189	0.0442849060798602	0.00031865125	0.000212769821067177	0.005301941	0.001911244052039	-0.020969332720807	0.152627499112245
61	centre.oxford	0.155368194939551	0.112807957945661	0.0006877776	0.00034213402706873	0.005301941	0.001911244052039	-0.0657354026339443	0.376471792513047
62	centre.reading	0.09904985968906	0.0685826341036563	0.00044966682	0.000258535174527765	0.005301941	0.001911244052039	-0.0353721031541063	0.233471822532226
63	centre.sheffield	0.0688152952285222	0.047320405997819	0.00032794809	0.00021100934225946	0.005301941	0.001911244052039	-0.0239327005272031	0.161563290984247
64	centre.stockport	1.45262892825265	0.577282397658573	0.007531074	0.00406027229101749	0.005301941	0.001911244052039	0.321155428841843	2.58410242766345
65	centre.stoke	0.0513189033395692	0.0093508464197153	0.000273768	0.000125842966823295	0.005301941	0.001911244052039	0.0329912443569272	0.0696465623222112
66	centre.swansea	0.419074702319372	0.348554998146159	0.0019557374	0.001348747563463	0.005301941	0.001911244052039	-0.2640930940471	1.10224249868584
67	centre.wrexham	1.68665831892556	1.26281821450118	0.008083666	0.00495458548801052	0.005301941	0.001911244052039	-0.788465381496765	4.16178201934788
68	chronotype.baseline	0.0423642853389258	0.0440877917084247	0.00017832427	0.000126357126660888	0.005301941	0.001911244052039	-0.0440477864095866	0.128776357087438
69	college.baseline	0.118556489513824	0.0875212823053943	0.0005292967	0.00028322415265261	0.005301941	0.001911244052039	-0.0529852238047485	0.290098202832397
70	computergames.baseline	0.0259590501215109	0.015435407305209	0.00012585087	7.58936756716051e-05	0.005301941	0.001911244052039	-0.00429434819669879	0.0562124484397206
71	cse.baseline	0.0823045339412879	0.0639182629646629	0.00038298105	0.000213071290851266	0.005301941	0.001911244052039	-0.0429752614694514	0.207584329352027
72	currentsmoking.baseline	0.143869224864303	0.0808845023196209	0.0006978495	0.000338394669980434	0.005301941	0.001911244052039	-0.0146643996821539	0.30240284941076
73	educatedyrs	0.186712469237479	0.154293224727303	0.0008662935	0.000515188439624927	0.005301941	0.001911244052039	-0.115702251228034	0.489127189702993
74	educationage.baseline	0.10509337655645	0.103893110678397	0.0004735072	0.000321659636719658	0.005301941	0.001911244052039	-0.0985371203732093	0.308723873486108
75	eversamesexpartner.baseline	0.124225581467697	0.0941430293011272	0.0006375117	0.000483648890541487	0.005301941	0.001911244052039	-0.0602947559625121	0.308745918897906
76	eversmoked.baseline	0.0976013805664659	0.0363042416410027	0.0004831033	0.000169688249389579	0.005301941	0.001911244052039	0.0264450669501007	0.168757694182831
77	familyhappiness.baseline	0.235712892786649	0.118724304504757	0.0011615219	0.00052094546499406	0.005301941	0.001911244052039	0.00301325595732488	0.468412529615972
78	father.age	0.152851590586685	0.114319492443523	0.0006897568	0.00031775976856557	0.005301941	0.001911244052039	-0.0712146146026191	0.37691779577599
79	father.ageatdeath	0.0694648478113661	0.0530345996263255	0.00030642183	0.00019479366492528	0.005301941	0.001911244052039	-0.0344829674562319	0.173412663078964
80	father.alive	0.0392209849630693	0.0299614322976629	0.00018410646	0.000129522688827421	0.005301941	0.001911244052039	-0.01950342234035	0.0979453922664887
81	father.alzheimers	0.0721449242079984	0.0464714634691856	0.0003326236	0.000159642625342565	0.005301941	0.001911244052039	-0.0189391441916055	0.163228992607602
82	father.bowelcancer	0.0599624668918711	0.0646906553756463	0.00027212935	0.000248942675281552	0.005301941	0.001911244052039	-0.0668312176443956	0.186756151428138
83	father.bronchitis	0.0605061890872398	0.0364356628620029	0.00030468335	0.000185333872323864	0.005301941	0.001911244052039	-0.0109077101222859	0.131920088296765
84	father.diabetes	0.0649229993644385	0.0384503252051778	0.00029266144	0.00012032708927596	0.005301941	0.001911244052039	-0.01043963803771	0.140285636766587
85	father.heartdisease	0.0321774056722729	0.0210175929166958	0.00014843873	9.18940791759978e-05	0.005301941	0.001911244052039	-0.00901707644445093	0.0733718877889968
86	father.highbloodpressure	0.0349240715344785	0.0348321144508451	0.00015236148	0.000134709357812983	0.005301941	0.001911244052039	-0.0333468727891778	0.103195015858135
87	father.lungcancer	0.0662589726849529	0.0383493244786531	0.0003256399	0.000200728272205149	0.005301941	0.001911244052039	-0.00890570329320713	0.141423648663113
88	father.parkinsons	0.112485773391867	0.0917513471268354	0.0005621071	0.000461672166409708	0.005301941	0.001911244052039	-0.0673468669767305	0.292318413760464
89	father.prostatecancer	0.0752431356631429	0.0334701231115799	0.0003714881	0.000141777928188535	0.005301941	0.001911244052039	0.00964169436444626	0.14084457696184
90	father.severedepression	0.178129929893263	0.0965280382478317	0.0008665678	0.000372561824439261	0.005301941	0.001911244052039	-0.0110650250724876	0.367324884859013
91	father.stroke	0.0424413632752089	0.0191505848764288	0.0002173157	9.72488492099407e-05	0.005301941	0.001911244052039	0.00490621691740842	0.0799765096330093
92	financehappiness.baseline	0.207104102823823	0.181716859429212	0.0009574049	0.000515801117412397	0.005301941	0.001911244052039	-0.149060941657433	0.563269147305079
93	freqtravelwork.baseline	0.0461985040811249	0.0315372996681308	0.00022872916	0.000126319521632118	0.005301941	0.001911244052039	-0.0156146032684114	0.108011611430661
94	friendhappiness.baseline	0.185622889623071	0.140049500887749	0.0008780696	0.000665514214948645	0.005301941	0.001911244052039	-0.088874132116917	0.460119911363058
95	getupmorning.baseline	0.0939189306188128	0.0564302660136308	0.0004277864	0.000227447578774734	0.005301941	0.001911244052039	-0.0166843907679035	0.204522252005529
96	happiness.baseline	0.276452312392738	0.149839931308983	0.0014065444	0.000742985673002021	0.005301941	0.001911244052039	-0.0172339529728682	0.570138577758344
97	healthhappiness.baseline	0.321953416912807	0.189020951746416	0.0015683603	0.000690185540824116	0.005301941	0.001911244052039	-0.0485276485101673	0.692434482335782
